movieId,title,content
1,Toy Story,adventure animation children comedy fantasy pixar fun
2,Jumanji,adventure children fantasy fantasy magic board game robin williams game
3,Grumpier Old Men,comedy romance moldy old
4,Waiting to Exhale,comedy drama romance
5,Father of the Bride Part II,comedy pregnancy remake
6,Heat,action crime thriller
7,Sabrina,comedy romance remake
8,Tom and Huck,adventure children
9,Sudden Death,action
10,GoldenEye,action adventure thriller
11,"American President, The",comedy drama romance politics president
12,Dracula: Dead and Loving It,comedy horror
13,Balto,adventure animation children
14,Nixon,drama politics president
15,Cutthroat Island,action adventure romance
16,Casino,crime drama mafia
17,Sense and Sensibility,drama romance jane austen
18,Four Rooms,comedy
19,Ace Ventura: When Nature Calls,comedy
20,Money Train,action comedy crime drama thriller
21,Get Shorty,comedy crime thriller hollywood
22,Copycat,crime drama horror mystery thriller serial killer
23,Assassins,action crime thriller
24,Powder,drama sci fi
25,Leaving Las Vegas,drama romance alcoholism
26,Othello,drama shakespeare
27,Now and Then,children drama
28,Persuasion,drama romance in netflix queue jane austen
29,"City of Lost Children, The (Cité des enfants perdus, La)",adventure drama fantasy mystery sci fi kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao),crime drama
31,Dangerous Minds,drama high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys),mystery sci fi thriller time travel brad pitt bruce willis mindfuck post apocalyptic post apocalyptic remake twist ending
34,Babe,children drama animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking,crime drama death penalty nun
38,It Takes Two,children comedy twins
39,Clueless,comedy romance chick flick funny paul rudd quotable seen more than once emma jane austen
40,"Cry, the Beloved Country",drama in netflix queue south africa
41,Richard III,drama war shakespeare
42,Dead Presidents,action crime drama
43,Restoration,drama england
44,Mortal Kombat,action adventure fantasy
45,To Die For,comedy drama thriller journalism
46,How to Make an American Quilt,drama romance wedding
47,Seven (a.k.a. Se7en),mystery thriller mystery twist ending serial killer
48,Pocahontas,animation children drama musical romance
49,When Night Is Falling,drama romance
50,"Usual Suspects, The",crime mystery thriller mindfuck suspense thriller tricky twist ending heist
52,Mighty Aphrodite,comedy drama romance adoption prostitution
53,Lamerica,adventure drama
54,"Big Green, The",children comedy
55,Georgia,drama
57,Home for the Holidays,drama
58,"Postman, The (Postino, Il)",comedy drama romance writing
60,"Indian in the Cupboard, The",adventure children fantasy
61,Eye for an Eye,drama thriller
62,Mr. Holland's Opus,drama music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,comedy crime
64,Two if by Sea,comedy romance
65,Bio-Dome,comedy
66,Lawnmower Man 2: Beyond Cyberspace,action sci fi thriller
68,French Twist (Gazon maudit),comedy romance
69,Friday,comedy
70,From Dusk Till Dawn,action comedy horror thriller
71,Fair Game,action
72,Kicking and Screaming,comedy drama
73,"Misérables, Les",drama war
74,Bed of Roses,drama romance
75,Big Bully,comedy drama
76,Screamers,action sci fi thriller
77,Nico Icon,documentary
78,"Crossing Guard, The",action crime drama thriller
79,"Juror, The",drama thriller
80,"White Balloon, The (Badkonake sefid)",children drama
81,Things to Do in Denver When You're Dead,crime drama romance
82,Antonia's Line (Antonia),comedy drama
83,Once Upon a Time... When We Were Colored,drama romance
85,Angels and Insects,drama romance
86,White Squall,action adventure drama
87,Dunston Checks In,children comedy
88,Black Sheep,comedy
89,Nick of Time,action thriller
92,Mary Reilly,drama horror thriller jekyll and hyde
93,Vampire in Brooklyn,comedy horror romance
94,Beautiful Girls,comedy drama romance
95,Broken Arrow,action adventure thriller
96,In the Bleak Midwinter,comedy drama theater
97,"Hate (Haine, La)",crime drama
99,Heidi Fleiss: Hollywood Madam,documentary
100,City Hall,drama thriller
101,Bottle Rocket,adventure comedy crime romance crime off beat comedy quirky
102,Mr. Wrong,comedy
103,Unforgettable,mystery sci fi thriller
104,Happy Gilmore,comedy test tag golf adam sandler
105,"Bridges of Madison County, The",drama romance
106,Nobody Loves Me (Keiner liebt mich),comedy drama
107,Muppet Treasure Island,adventure children comedy musical muppets
108,Catwalk,documentary
110,Braveheart,action drama war beautiful scenery epic historical inspirational medieval mel gibson oscar best cinematography revenge sword fight scotland
111,Taxi Driver,crime drama thriller assassination
112,Rumble in the Bronx (Hont faan kui),action adventure comedy crime
113,Before and After,drama mystery
116,Anne Frank Remembered,documentary holocaust
117,"Young Poisoner's Handbook, The",crime drama
118,If Lucy Fell,comedy romance
